elapsed_sec,total_pss_kb,total_rss_kb,battery_temp_c,battery_level,thermal_status,foreground_window
5,367389,469960,34.4,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
10.7,401820,505324,34.4,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
16.2,413277,516788,34.4,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
21.7,420984,524500,34.5,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
27.2,428337,531856,34.5,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
32.6,432892,536412,34.6,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
38.1,433322,536892,34.6,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
43.6,440074,543648,34.8,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
49.1,448036,551668,34.7,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
54.5,449377,553128,34.9,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
60,450603,554176,34.9,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
65.5,452149,555728,35.0,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
70.9,452392,555964,35.1,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
76.4,452688,556260,35.2,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
81.9,453000,556576,35.2,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
87.3,453424,557016,35.3,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
92.8,453700,557292,35.3,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
98.3,453960,557552,35.4,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
103.8,454592,558188,35.4,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
109.2,455024,558620,35.6,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
114.7,455200,558796,35.6,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
120.2,455348,558944,35.6,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
125.6,455464,559064,35.7,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
131.1,455408,559008,35.7,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
136.6,455640,559244,35.9,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
142,455920,559524,35.9,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
147.5,456324,559928,35.9,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
152.9,456860,560464,36.0,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
158.4,457272,560880,36.0,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
163.9,457585,561184,36.0,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
169.3,457713,561312,36.1,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
174.7,457865,561464,36.1,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
180.2,457925,561524,36.1,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
185.6,458101,561704,36.2,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
191.1,458217,561820,36.3,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
196.6,459365,562992,36.3,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
202,459437,563064,36.4,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
207.5,459517,563144,36.4,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
212.9,459601,563228,36.5,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
218.4,458921,562548,36.5,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
223.8,459049,562676,36.5,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
229.3,459069,562696,36.5,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
234.8,459101,562728,36.6,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
240.2,459269,562896,36.6,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
245.7,460057,563704,36.6,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
251.1,459437,563084,36.6,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
258.4,459497,563144,36.7,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
264,459497,563144,36.8,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
270.1,459513,563160,36.8,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
276.6,459581,563228,36.7,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
282.2,459581,563228,36.9,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
289.2,460137,563784,37.0,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
295.3,460193,563840,37.0,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
301,460185,563832,37.1,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
308.2,460221,563876,37.0,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
316.9,460373,564028,37.1,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
323.2,460456,564104,37.1,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
336.1,460192,563840,37.1,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
344,460196,563844,37.1,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
350.3,460171,563828,37.3,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
356.1,460159,563816,37.3,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
361.9,460167,563824,37.3,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
368.1,460311,563968,37.3,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
374.8,460323,563980,37.4,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
381.4,460323,563980,37.4,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
388.4,460454,564168,37.4,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
395.5,460474,564188,37.5,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
403.4,460470,564184,37.6,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
413.2,460530,564244,37.6,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
422.3,460514,564228,37.7,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
428.5,460494,564208,37.7,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
434.3,460538,564252,37.8,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
443,460496,564280,37.7,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
449.2,459741,564288,37.9,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
455.3,459546,564284,37.9,100,3,mCurrentFocus=Window{30d9502 u0 com.mimicompany.truegate/com.unity3d.player.UnityPlayerGameActivity}
